Date;Symbol;StartDate;EndDate;Offer;Close;Change;Std;Volume;Amount;MktCap
14/05/2010;JKS;;;11;11,01;0,09 %;;;;
16/05/2014;JMEI;;;22;24,18;9,91 %;;;;
03/10/2012;JMI;;;20;19,6;-2,00 %;;;;
24/07/2013;JONE;;;15;13,83;-7,80 %;;;;
16/07/2015;JP;;;10;11,08;10,80 %;;;;
02/10/2014;JPEP;;;20;19,11;-4,45 %;;;;
12/12/2014;JRVR;;;21;21,25;1,19 %;;;;
19/12/2014;JUNO;;;24;35;45,83 %;;;;
10/11/2014;JYNT;;;6,5;6,58;1,23 %;;;;
09/04/2014;KANG;;;14;15,2;8,57 %;;;;
01/10/2010;KEYW;;;10;11,38;13,80 %;;;;
11/08/2010;KH;;;10,25;12,16;18,63 %;;;;
12/12/2013;KIN;;;7;11,95;70,71 %;;;;
26/03/2014;KING;;;22,5;19;-15,56 %;;;;
11/02/2011;KIPS;;;8;7,93;-0,88 %;;;;
20/06/2014;KITE;;;17;29;70,59 %;;;;
11/02/2011;KMI;;;30;31,05;3,50 %;;;;
16/04/2015;KMPH;;;11;11,2;1,82 %;;;;
10/04/2013;KNOP;;;21;21,79;3,76 %;;;;
14/05/2010;KONE;;;4;3,94;-1,50 %;;;;
15/12/2011;KORS;;;20;24,2;21,00 %;;;;
11/05/2011;KOS;;;18;18,24;1,33 %;;;;
06/11/2013;KPTI;;;16;16,05;0,31 %;;;;
02/04/2015;KRNT;;;10;14;40,00 %;;;;
08/05/2014;KTWO;;;15;15;0,00 %;;;;
20/07/2012;KYAK;;;26;33,18;27,62 %;;;;
11/10/2012;KYTH;;;16;19,79;23,69 %;;;;
06/02/2014;LADR;;;17;16,99;-0,06 %;;;;
29/01/2013;LAND;;;15;15;0,00 %;;;;
11/12/2014;LC;;;15;23,43;56,20 %;;;;
09/10/2013;LDRH;;;15;19,35;29,00 %;;;;
09/12/2010;LEDS;;;17;25,76;51,53 %;;;;
17/04/2014;LEJU;;;10;11,86;18,60 %;;;;
29/01/2015;LENS;;;10;8,15;-18,50 %;;;;
26/01/2011;LFGR;;;17;22,68;33,41 %;;;;
07/11/2013;LGIH;;;11;12,9;17,27 %;;;;
25/10/2012;LGP;;;20;20,23;1,15 %;;;;
07/05/2015;LIFE;;;14;14,95;6,79 %;;;;
06/06/2013;LITB;;;9,5;11,61;22,21 %;;;;
27/02/2014;LMNS;;;12;12,15;1,25 %;;;;
14/11/2014;LMRK;;;19;19,09;0,47 %;;;;
12/10/2012;LNCO;;;36,5;38,26;4,82 %;;;;
19/05/2011;LNKD;;;45;94,25;109,44 %;;;;
25/06/2015;LNTH;;;14;11,56;-17,43 %;;;;
23/07/2015;LOB;;;17;19,07;12,18 %;;;;
